Line Tag,Cluster Sequence
"<f78r.15,+P0>","[None, None, None, None, 3, 3, None, 6]"
"<f78r.16,+P0>","[None, None, 8, None, 8, 5]"
"<f78r.17,+P0>","[5, 9, 9, None, None, 3]"
"<f78r.18,+P0>","[6, None, None, 3, 3, 8]"
"<f78r.19,+P0>","[8, None, 8, None, None, None]"
"<f78r.20,+P0>","[3, None, 3, None, None]"
"<f78r.21,+P0>","[None, None, None, None]"
"<f78r.22,+P0>","[None, None, 8, None, 8]"
"<f78r.23,+P0>","[5, None, 6, None, 3, None]"
"<f78r.24,+P0>","[None, 9, None, None, 6]"
"<f78r.25,+P0>","[None, None, 5, None, 8]"
"<f78r.26,+P0>","[3, None, 3, 3, None, None, 3, 3]"
"<f78r.27,+P0>","[5, None, 5, 6]"
"<f78r.28,+P0>","[5, 6, None, None, None, None, None, None, 3]"
"<f78r.29,+P0>","[8, None, 6, 9, None, 8, 0, None, 8, 8, None, 6]"
"<f78r.30,+P0>","[None, None, 8, 6, 3, None, 6, None, None]"
"<f78r.31,+P0>","[None, None, None, 0, None, 0, None, None]"
"<f78r.32,+P0>","[None, None, None, None, 3, 3, None, 9, 8]"
"<f78r.33,+P0>","[None, 8, None, None, None, 9, 6, None, 3]"
"<f78r.34,+P0>","[None, None, None, None, 3, 8, None, 8]"
"<f78r.35,+P0>","[8, 5, None, None, None, 8, 8, 8, None, 3]"
"<f78r.36,+P0>","[None, None, None, 9, None, 8, None, 8]"
"<f78r.37,+P0>","[6, 6, 8, 8, None, 8, 6]"
"<f78r.38,+P0>","[8, 3, 8, None, 6, 8, None]"
"<f78r.39,+P0>","[None, None, None, None]"
"<f78r.40,+P0>","[None, None, None, None, 3]"
"<f78r.41,+P0>","[8, 5, None, None, None, 8]"
"<f78r.42,+P0>","[8, None, 6, 5]"
"<f78r.43,+P0>","[None, None, None, 3]"
"<f78r.44,@Lt>",[None]
"<f78r.45,@Lt>",[None]
"<f78r.46,@Lt>","[0, 5]"
"<f78r.47,@Lt>",[9]
<f78v>,[]
"<f78v.1,@P0>","[None, None, None, None, None, 8, 8, None, None]"
"<f78v.2,+P0>","[None, None, None, None, None, 9, 3, 3, 8, 0, 3]"
"<f78v.3,+P0>","[None, None, None, None, 8, None, None, None, 6, 8]"
"<f78v.4,+P0>","[6, None, None, None, 6, None, None, None, 6]"
"<f78v.5,+P0>","[None, None, 6, 6, None, 6, None, 3, 9, 3, None]"
"<f78v.6,+P0>","[7, 8, None, 8, None, None, None, None, None, None, None]"
"<f78v.7,+P0>","[0, 8, None, None, None, None, None, 0, None]"
"<f78v.8,+P0>","[None, None, None, None, None, 3, None, None, 8]"
"<f78v.9,+P0>","[8, None, None, None, 6, None, None, None, 8, 3]"
"<f78v.10,+P0>","[None, None, 8, None, None, None, None, None]"
"<f78v.11,+P0>","[None, None, None, None, 2, 6, None, None, None, 8]"
"<f78v.12,+P0>","[None, 6, None, None, 0, None, None, 5]"
"<f78v.13,+P0>","[None, None, None, None, None, None, None, None]"
"<f78v.14,+P0>","[None, None, None, None, 9, None, None, 3]"
"<f78v.15,+P0>","[None, None, None, None, 8, None, None, None, None, 3]"
"<f78v.16,+P0>","[None, 8, None, 8, None, None, None, None, 8, 6]"
"<f78v.17,+P0>","[None, None, None, None, None, None, 8, None, 6, 9, 8]"
"<f78v.18,+P0>","[None, None, None, 3, None, None, None, None, None]"
"<f78v.19,+P0>","[None, 6, None, None, 8, None, 5]"
"<f78v.20,+P0>","[None, None, None, None, None, 6, 9]"
"<f78v.21,+P0>","[None, None, None, 0, 6, None, None, None]"
"<f78v.22,+P0>","[9, None, 6, None, 9, None, None, 6, None, None]"
"<f78v.23,+P0>","[None, None, None, None, None, 6, None, None]"
"<f78v.24,+P0>","[2, None, 6, None, None, None, None, None, 9]"
"<f78v.25,+P0>","[None, None, None, 6, 8, None, 8, 6, None]"
"<f78v.26,+P0>","[None, 8, None, 0, 6, None, 3, None, 0]"
"<f78v.27,+P0>","[8, 9, None, 8, 6, 6, None, 6, None, 6, 6]"
"<f78v.28,+P0>","[6, None, None, 8, 6, None, None, 3, 8, 8]"
"<f78v.29,+P0>","[None, None, None, None, 8, 3, 8, 5, 6, None, 3]"
"<f78v.30,+P0>","[5, None, 5, None, 8, 6, 9, 6, None, 3]"
"<f78v.31,+P0>","[8, 3, 8, None, 0, 0, None, None, None]"
"<f78v.32,+P0>","[8, None, None, 8, None, 0]"
<f79r>,[]
"<f79r.1,@P0>","[5, None, 8, None, None, None, 0, None]"
"<f79r.2,+P0>","[None, None, None, None, 6, None, None, None, None, 8]"
"<f79r.3,+P0>","[None, 8, None, None, None, None, None, None, None, 8, None]"
"<f79r.4,+P0>","[None, 3, None, None, None, None, None, None, None, None, 6]"
"<f79r.5,+P0>","[None, None, None, 8, None, None, None, None, None, 3, None, None, None]"
"<f79r.6,+P0>","[None, 8, 6, None, None, 5, 6, None, None, None]"
"<f79r.7,+P0>","[None, None, None, None, 6, None, None, None, None, None]"
"<f79r.8,+P0>","[None, None, None, None, None, None, 8, None, None]"
"<f79r.9,+P0>","[8, None, None, None, None, None, None, None, None]"
"<f79r.10,+P0>","[None, None, None, 9, None, None, None, None]"
"<f79r.11,+P0>","[None, None, None, None, None, None, None, 0, 8]"
"<f79r.12,+P0>","[None, None, 3, None, None, 5]"
"<f79r.13,+P0>","[None, None, None, None, None, None, 8, 8, 6]"
"<f79r.14,+P0>","[3, None, None, None, None, None, None, 8, None, None]"
"<f79r.15,+P0>","[None, None, None, None, 9, 3, 8, 8, 6, None, None]"
"<f79r.16,+P0>","[None, None, None, None, 0, None, None, None, None]"
"<f79r.17,+P0>","[None, None, None, 3, 3, 8, 5, 0, None, 6, 6]"
"<f79r.18,+P0>","[5, None, None, None, None, 0, 0, 0, 6, 8]"
"<f79r.19,+P0>","[3, None, None, 5, 8, 3, None, None, None, None, 6]"
"<f79r.20,+P0>","[8, None, 8, None, None, None, 3, None]"
"<f79r.21,+P0>","[3, None, None, None, 9, 8, None, None, 8]"
"<f79r.22,+P0>","[None, 3, None, None, 0, None, None, 6, 8, None]"
"<f79r.23,+P0>","[3, None, None, 6, 3, None, 8, 6, 8, None, 0]"
"<f79r.24,+P0>","[None, None, None, None, 0, None, 8, 8]"
"<f79r.25,+P0>","[None, None, None, None, None, None, None, None]"
"<f79r.26,+P0>","[3, None, None, None, None, None, None, 8]"
"<f79r.27,+P0>","[None, None, 9, None, 6, 6, 8, None, 0, 8]"
"<f79r.28,+P0>","[8, None, None, 6, None, None, 0, 3, None]"
"<f79r.29,+P0>","[None, None, None, None, 6, None, None, None, 6]"
"<f79r.30,+P0>","[None, None, 8, None, 6]"
"<f79r.31,+P0>","[None, None, None, None, None, None, None, 3]"
"<f79r.32,+P0>","[3, None, None, 8, 6, 6, None, 8, None, 6]"
"<f79r.33,+P0>","[8, None, None, None, None, None, None, 6]"
"<f79r.34,+P0>","[None, None, None, None, None, None]"
"<f79r.35,+P0>","[3, None, None, None, None, 8, None, 0]"
"<f79r.36,+P0>","[3, None, 6, None, 3, None, None, 6, 8, None, 6]"
"<f79r.37,+P0>","[None, 6, 6, None, 6, None, None, None, 8]"
"<f79r.38,+P0>","[3, None, None, None]"
"<f79r.39,+P0>","[None, None, None, 6, 5, None, 6]"
"<f79r.40,+P0>","[None, None, None, None, 6, 8, None]"
"<f79r.41,+P0>","[None, None, None, None, None, 6, 6, None, 6]"
"<f79r.42,+P0>","[5, 8, None, None, 8, 8, 6, None]"
"<f79r.43,+P0>","[None, None, None, None, 8, None, 3, None, 3]"
"<f79r.44,+P0>","[8, 5, None, 3, None]"
<f79v>,[]
"<f79v.1,@P0>","[None, 6, None, 6, 0, None, 8, 6]"
"<f79v.2,+P0>","[None, None, None, None, None, None, None]"
"<f79v.3,+P0>","[None, None, None, None, None, None, 0]"
"<f79v.4,+P0>","[None, None, None, 3, None, 8, None, None, None]"
"<f79v.5,+P0>","[None, None, None, 8, 8, None, None, None]"
"<f79v.6,+P0>","[None, 8, 3, None, None, None, 6, None, 3, 2]"
"<f79v.7,+P0>","[None, None, None, 9, None, None, 8, None]"
"<f79v.8,+P0>","[None, None, None, None, None, None, None, 8]"
"<f79v.9,+P0>","[3, 6, None, None, None, None]"
"<f79v.10,+P0>","[None, None, None, None, 6, None, None]"
"<f79v.11,+P0>","[None, None, None, None, None, 0, 6]"
"<f79v.12,+P0>","[None, None, None, None, None, None, None, 8]"
"<f79v.13,+P0>","[8, 3, None, 3, None, None, None, None, 8]"
"<f79v.14,+P0>","[None, None, None, None, None, None, 8, None, None]"
"<f79v.15,+P0>","[None, None, None, None, None, 8, None, None]"
"<f79v.16,+P0>","[8, None, None, None, None, None, None, 8, 6]"
"<f79v.17,+P0>","[None, None, None, 6, 3, None, None, None, 0, 5]"
"<f79v.18,+P0>","[None, None, None, None, None, None, None, None, None]"
"<f79v.19,+P0>","[2, None, None, 3, None, None, None, None, 3, 6, None]"
"<f79v.20,+P0>","[None, None, None, None, 8, None, None, 0, None, None]"
"<f79v.21,+P0>","[None, None, None, None, 5, None, 8, None, 5]"
"<f79v.22,+P0>","[None, None, 8, None, 3, 5]"
"<f79v.23,+P0>","[None, 8, 6, 8, 0, None, None, 3]"
"<f79v.24,+P0>","[None, 8, 6, None, None, None, None, None, None]"
"<f79v.25,+P0>","[None, 6, None, None, None, 6, None, 5, 6]"
"<f79v.26,+P0>","[None, 8, 3, None, None, 3, 6, 0, 8]"
"<f79v.27,+P0>","[None, 9, 8, 6, 0, None]"
"<f79v.28,+P0>","[None, None, None, None, None, 6, 0, None]"
"<f79v.29,+P0>","[8, None, None, 3, None, None, None, 3, 8, None, 0]"
"<f79v.30,+P0>","[None, None, 8, None, None, None, 3, None, None]"
"<f79v.31,+P0>","[None, 8, 3, None, None, None, None, 3]"
"<f79v.32,+P0>","[None, 6, 8, None, 6, 6, None, None, 5]"
"<f79v.33,+P0>","[3, 3, 8, None, None, 8, None, None, None, None, 3, 5]"
"<f79v.34,+P0>","[None, None, None, None, None, 0, None, 6]"
"<f79v.35,+P0>","[None, None, 5, None, 6, 0, 8, 0, 6, None, None]"
"<f79v.36,+P0>","[None, 6, None, None, None]"
"<f79v.37,+P0>","[3, 6, None, 5, None, None, None, None, None]"
"<f79v.38,+P0>","[None, None, None, None, None, 8, None, 3]"
"<f79v.39,+P0>","[None, None, None, 8, 8, 8, None, None, 8, 2]"
"<f79v.40,+P0>","[None, 8, 8, 6, 6, None, None, None, None, 6]"
"<f79v.41,+P0>","[None, None, 8, None, 3, None, 8, 5]"
"<f79v.42,+P0>","[None, None, None, None, 6, 8, 5]"
<f80r>,[]
"<f80r.1,@Ln>",[3]
"<f80r.2,=Ln>",[None]
"<f80r.3,=Ln>",[9]
"<f80r.4,=Ln>",[8]
"<f80r.5,=Ln>",[9]
"<f80r.6,=Ln>",[6]
"<f80r.7,~Ln>",[6]
"<f80r.8,=Ln>",[None]
"<f80r.9,~Ln>",[5]
"<f80r.10,+Ln>",[None]
"<f80r.11,@P0>","[3, None, None, None, None, None, None, 6, 8, None]"
"<f80r.12,+P0>","[None, 6, None, None, None, None, None, 9, None, None, None]"
"<f80r.13,+P0>","[None, None, None, None, None, None, None, None, None, None, None]"
"<f80r.14,+P0>","[5, None, 8, None, None, None, None, 8, None, None, None, 0]"
"<f80r.15,+P0>","[None, None, None, None, None, None, None, 0, None, 8]"
"<f80r.16,+P0>","[None, None, None, 6, None, None, None, None, 5, None, 0]"
"<f80r.17,+P0>","[3, None, None, None, None, None, None, 3, 6, 8, None, None, 8]"
"<f80r.18,+P0>","[8, None, None, None, None, None, None, None, None, None, 6]"
"<f80r.19,+P0>","[None, None, None, None, None, None, None, None, None, 8, 6]"
"<f80r.20,+P0>","[None, None, None, None, None, None, 0, None, None, None, 3]"
"<f80r.21,+P0>","[None, None, None, None, None, 0, None, None, None, 6, None]"
"<f80r.22,+P0>","[None, None, None, None, None, None, None, 5, 6, None, None]"
"<f80r.23,+P0>","[None, 3, None, 8, 5, None, None, 6, None, 3, 8, 3]"
"<f80r.24,+P0>","[8, None, None, 8, 6, 8, 0, None, 0, None, None, 3, None]"
"<f80r.25,+P0>","[3, None, None, 8, 3, None, 8, None, 5, None, 6, None, 8]"
"<f80r.26,+P0>","[None, 3, None, None, None, None, None, None, None, 0, 8]"
"<f80r.27,+P0>","[8, None, 0, 6, 6, 6, 8, 6, None, 6]"
"<f80r.28,+P0>","[None, 3, None, None, None, None, None, 6, None, None]"
"<f80r.29,+P0>","[None, None, None, None, None, None, None, None, 3, 3]"
"<f80r.30,+P0>","[None, None, None, None, None, 8, None, 8, 6]"
"<f80r.31,+P0>","[None, None, 3, None, 9, 9, None, 6]"
"<f80r.32,+P0>","[3, None, None, 8, None, None, None, 8, 6]"
"<f80r.33,+P0>","[None, None, 5, 0, None, 8, None, 6]"
"<f80r.34,+P0>","[None, 8, None, None, None, 6, None, None, None, 5, 8]"
"<f80r.35,+P0>","[None, None, None, None, None, None, None, None, None, None, None]"
"<f80r.36,+P0>","[None, None, 3, None, None, None, None, None, None, 6, 8]"
"<f80r.37,+P0>","[3, None, 0, None, None, 3, 6, None, 6, None, None, 5]"
"<f80r.38,+P0>","[8, 6, None, 3, 3, None, 3, 0, None, None, None, None, 6]"
"<f80r.39,+P0>","[None, None, None, None, None, None, 5, None]"
"<f80r.40,+P0>","[None, None, None, None, None, None, 3]"
"<f80r.41,+P0>","[3, 0, None, None, 6, None, None, 5]"
"<f80r.42,+P0>","[8, None, None, None, None, None, None, 6]"
"<f80r.43,+P0>","[8, None, None, None, 8, None, None, 3]"
"<f80r.44,+P0>","[None, None, None, 6, None, None, None, 8]"
"<f80r.45,+P0>","[8, None, None, None, None, None, None, 5]"
"<f80r.46,+P0>","[None, None, 6, None, None, 5, 8]"
"<f80r.47,+P0>","[None, None, 8, 8, None, 8, 2, None, None]"
"<f80r.48,+P0>","[5, None, 8, None, None, None, None, None, None, 3]"
"<f80r.49,+P0>","[5, None, 8, 3, 9, None, 8, 6, None, 8, 6, 9]"
"<f80r.50,+P0>","[8, None, 8, None, 9, None, None, None, 9]"
"<f80r.51,+P0>","[3, 6, 8, 3, None, 8, 0, 0, None, 3, 6]"
"<f80r.52,+P0>","[3, 8, None, None, 8, 6, 6, 8, 8, 8, None]"
"<f80r.53,+P0>","[3, 6, None, None, None, None, None, 3]"
<f80v>,[]
"<f80v.1,@P0>","[None, None, None, None, None, None, 8]"
"<f80v.2,+P0>","[None, None, 6, 0, None, None, 8, 3]"
"<f80v.3,+P0>","[None, None, None, None, 0, None, None]"
"<f80v.4,+P0>","[None, None, None, None, None, None, None, None]"
"<f80v.5,+P0>","[None, None, None, None, None, None, None, 6]"
"<f80v.6,+P0>","[None, 9, None, 5, None, None, None, None, None]"
"<f80v.7,+P0>","[None, None, None, None, None, 5, None, None]"
"<f80v.8,+P0>","[None, None, None, None, None, None, None, None]"
"<f80v.9,+P0>","[None, None, 8, 3, 3, 8, None, None, 3, None, None, 3]"
"<f80v.10,+P0>","[3, None, None, None, None, None, None, None, 6]"
"<f80v.11,+P0>","[3, None, None, 6, 8, None, None, None, None, 8]"
"<f80v.12,+P0>","[None, 5, None, None, None, None, 6, None, 3]"
"<f80v.13,+P0>","[8, 3, 6, 6, None, 9, 8]"
"<f80v.14,+P0>","[None, None, None, None, 0, None, None, None, None]"
"<f80v.15,+P0>","[None, None, None, 8, 3, 8, None, None, 0, 8, 6, 3]"
"<f80v.16,+P0>","[None, 9, None, 8, None, 8, None, None, 0, 8, 3]"
"<f80v.17,+P0>","[None, None, None, None, None, None, None]"
"<f80v.18,+P0>","[None, None, 8, None, 8, 8]"
"<f80v.19,+P0>","[None, None, None, 8, 5, None, 6]"
"<f80v.20,+P0>","[None, 6, None, 8, None, None, 6, 8]"
"<f80v.21,+P0>","[3, 5, 9, 8, None, None, 6, 9, 0]"
"<f80v.22,+P0>","[None, None, 6, None, 3, 8, None, None]"
"<f80v.23,+P0>","[None, 3, None, None, None, None, None, None, None]"
"<f80v.24,+P0>","[None, None, None, None, None, 0, 6, None, None, 8]"
"<f80v.25,+P0>","[None, None, 6, None, None, None, 3, 8, None, 3]"
"<f80v.26,+P0>","[None, None, None, 3, None, None, None, None]"
"<f80v.27,+P0>","[None, 5, 6, 9, None, None, 3, 6, 8, None, None]"
"<f80v.28,+P0>","[None, None, 8, 3, None, None, 6, 8, None, None, 3]"
"<f80v.29,+P0>","[None, 6, 6, 6, None]"
"<f80v.30,+P0>","[3, 8, 6, None, None, 8, 8, None, None]"
"<f80v.31,+P0>","[None, 6, 6, 6, 3, None, None, None, None]"
"<f80v.32,+P0>","[5, None, 5, 8, None, 6, None, None]"
"<f80v.33,+P0>","[None, None, 6, None, None, None, None, 8]"
"<f80v.34,+P0>","[8, None, None, None, None, None, 6, None, None]"
"<f80v.35,+P0>","[8, 6, 6, 8, None, None, 5, 9, 6, 5, None, 3]"
"<f80v.36,+P0>","[8, 8, None, 3, None, 3, None, 6, None, None]"
"<f80v.37,+P0>","[None, None, None, None]"
"<f80v.38,+P0>","[3, 9, None, 6, 0, None, 8, None, None, None, 3]"
"<f80v.39,+P0>","[3, 8, None, None, None, 6, None, None, None, 3, 3]"
"<f80v.40,+P0>","[None, 6, None, 6, None, None, 3, None, None, None]"
"<f80v.41,+P0>","[3, 3, 6, 3, None, 3, 0, None, None, None, None]"
"<f80v.42,+P0>","[3, 6, 8, 6, None, None, None, None, 3, 3, 3]"
"<f80v.43,+P0>","[8, 3, None, None, 8, None, 3, 3, None, 8]"
"<f80v.44,+P0>","[None, 5]"
<f81r>,[]
"<f81r.1,@P0>","[None, None, None, None, None, None, 6]"
"<f81r.2,+P0>","[None, None, None, None, None, 0, None, 8]"
"<f81r.3,+P0>","[None, 3, None, 6, 6, None, 8, None]"
"<f81r.4,+P0>","[None, None, 6, 6, None, None, 3]"
"<f81r.5,+P0>","[None, None, None, 6, 6, 6, 8, 6, 8, 3]"
"<f81r.6,+P0>","[3, 6, None, None, None, None, 6]"
"<f81r.7,+P0>","[None, 8, None, None, 8]"
"<f81r.8,+P0>","[None, None, 0, None, None, 6]"
"<f81r.9,+P0>","[None, None, None, None]"
"<f81r.10,+P0>","[None, 8, None, None, None, 3]"
"<f81r.11,+P0>","[6, None, None, None, None]"
"<f81r.12,+P0>","[None, None, 6, None, None, 8]"
"<f81r.13,+P0>","[None, None, None, None, None, None]"
"<f81r.14,+P0>","[None, None, None, 8, 3, 3, None]"
"<f81r.15,+P0>","[5, 6, None, None, None]"
"<f81r.16,+P0>","[None, None, None, None, 6, 5]"
"<f81r.17,+P0>","[8, None, None, None, None, 6, None]"
"<f81r.18,+P0>","[None, None, 6, None, None, 5]"
"<f81r.19,+P0>","[None, None, None, None, 6, 8]"
"<f81r.20,+P0>","[None, None, None, None, 6, 5, 3]"
"<f81r.21,+P0>","[None, None, None, None, None, None, 8]"
"<f81r.22,+P0>","[None, None, None, 6, 8, 6, None, 6, 6]"
"<f81r.23,+P0>","[None, 8, None, 5, None, None]"
"<f81r.24,+P0>","[3, 8, None, None, None, 3, None, 6]"
"<f81r.25,+P0>","[3, None, None, 0, 9, 9, None, 8]"
"<f81r.26,+P0>","[None, None, None, None, None, None, None]"
"<f81r.27,+P0>","[5, None, None, None, 8, None]"
"<f81r.28,+P0>","[None, None, None, None, 3, None, None]"
"<f81r.29,+P0>","[None, None, None, 3, None, 2, 6, 6]"
"<f81r.30,+P0>","[3, None, None, 8, 6, 6, 8, None]"
"<f81r.31,+P0>","[3, None, 6, None, None, None, None, None, 3, 8, 5]"
<f81v>,[]
"<f81v.1,@P0>","[3, None, None, None, 3, 3, 6, None, None, 3, None]"
"<f81v.2,+P0>","[None, 8, 5, 9, 3, 6, 5, 6, 3, 6, 8, 3]"
"<f81v.3,+P0>","[8, 8, 6, None, None, 3, None, None, 3, 6]"
"<f81v.4,+P0>","[None, 8, None, 8, 6, 8, 8, 8, 8, None]"
"<f81v.5,+P0>","[9, 8, 0, None, None, None, 9, 8, 8]"
"<f81v.6,+P0>","[None, 8, 6, None, None, 8, 3, 8, 8, 8, 3]"
"<f81v.7,+P0>","[6, 6, None, 8, None, 8, None, None, None]"
"<f81v.8,+P0>","[2, 6, 8, None, None, None, 8, 3, None, 6]"
"<f81v.9,+P0>","[8, 6, None, 8, None, 8, 6, None, 5]"
"<f81v.10,+P0>","[None, None, None, None, None, None, None, 5, 8]"
"<f81v.11,+P0>","[None, None, None, 8, None, None, 8, 8, None, 8, None]"
"<f81v.12,+P0>","[None, 6, None, None, None, None, None, None, None]"
"<f81v.13,+P0>","[None, None, None, None, 3, None, None, None, 9]"
"<f81v.14,+P0>","[None, None, None, 8, None, None, None, None]"
"<f81v.15,+P0>","[None, None, 6, None, None, None, 8, None, 3]"
"<f81v.16,+P0>","[3, 8, None, None, 6, None, 8, None, None, 3, None, None]"
"<f81v.17,+P0>","[None, None, 6, None, None, None, None, 3, 3]"
"<f81v.18,+P0>","[None, None, 6, None, 6, None, None, None, None, None]"
"<f81v.19,+P0>","[None, 6, None, None, None, None, None, None, 8, None]"
"<f81v.20,+P0>","[None, None, None, None, None, None, None, None]"
"<f81v.21,+P0>","[None, None, None, None, None, None, None, None, 0]"
"<f81v.22,+P0>","[None, None, 6, None, 3, None, None, None]"
"<f81v.23,+P0>","[None, None, 2, 6, None, None, None, 8, 6, None]"
"<f81v.24,+P0>","[None, None, None, None, None, None, 5, None, None, 3]"
"<f81v.25,+P0>","[None, None, None, None, None, 6, None, None, None, 8]"
"<f81v.26,+P0>","[None, None, 3, 8, None, 3, None, None, None, None]"
"<f81v.27,+P0>","[None, 6, None, None, None, None, None]"
"<f81v.28,@Lt>","[5, 6]"
<f82r>,[]
"<f82r.1,@P0>","[None, None, 8, None, None, None, 8, None]"
"<f82r.2,+P0>","[None, None, None, 8, None, None, None, None]"
"<f82r.3,+P0>","[None, None, None, 3, None, None]"
"<f82r.4,+P0>","[None, None, None, 3, None, None, None, None]"
"<f82r.5,+P0>","[3, None, None, None, None, None, None, None]"
"<f82r.6,+P0>","[3, None, None, None, None, 9, None, None, None]"
"<f82r.7,+P0>","[None, 8, None, None, None, None, None, 3, None]"
"<f82r.8,+P0>","[None, None, None, None, None, None, None, None, None]"
"<f82r.9,+P0>","[None, None, None, None, None, None]"
"<f82r.10,@Lt>","[5, 5]"
"<f82r.11,@P0>","[None, None, None, None, None, None, None, 5]"
"<f82r.12,+P0>","[None, None, None, 3, None, 9, None]"
"<f82r.13,+P0>","[None, None, None, None, None, None, None, 5]"
"<f82r.14,+P0>","[8, None, None, None, None, None, None, None, None]"
"<f82r.15,+P0>","[None, None, None, None, None, None, 8, 8, None, 8]"
"<f82r.16,+P0>","[None, None, None, None, 8, 3, 6, 8, 8, None, 3, 8]"
"<f82r.17,+P0>","[None, None, None, None, None, None, None, None]"
"<f82r.18,+P0>","[None, 0, None, None, 3, None, None, None, 3, 8]"
"<f82r.19,+Pr>","[8, None, 8, None, None]"
"<f82r.20,*P0>","[None, None, None, None, None, 8, None, None]"
"<f82r.21,+P0>","[8, None, None, None, 8, None, None, None, None, 3]"
"<f82r.22,+P0>","[None, None, None, None, None, None, None, 5]"
"<f82r.23,+P0>","[None, None, None, None, 8, None, None, None, 3]"
"<f82r.24,+P0>","[None, None, None, 5, 8, None, None, None, 8, 2]"
"<f82r.25,+P0>","[8, None, None, None, None, None, None, None, 8, None, 8]"
"<f82r.26,+P0>","[None, None, None, None, None, 8, None, None, None]"
"<f82r.27,+P0>","[None, None, 3, None, None, None, None, None]"
"<f82r.28,+P0>","[None, None, None, None, None, None, None, None, 6]"
"<f82r.29,+P0>","[None, None, None, None, None, None, None, None, None]"
"<f82r.30,+P0>","[None, 8, 8, None, None, None, None, None, None, 3]"
"<f82r.31,+P0>","[None, 6, None, None, None, None, None, None, None]"
"<f82r.32,+P0>","[None, None, 8, None, None, None, None, 8, None, 8, 3]"
"<f82r.33,+P0>","[5, 6, None, None, None, None]"
"<f82r.34,@Ln>",[8]
"<f82r.35,@Lt>",[3]
"<f82r.36,@Ln>",[9]
"<f82r.37,@Ln>",[9]
"<f82r.38,@Lt>",[5]
"<f82r.39,+Ln>",[None]
"<f82r.40,*Ln>",[8]
"<f82r.41,=Ln>",[6]
"<f82r.42,=Ln>",[5]
"<f82r.43,=Ln>",[3]
"<f82r.44,=Ln>",[6]
"<f82r.45,=Ln>",[None]
<f82v>,[]
"<f82v.1,@Ln>",[None]
"<f82v.2,=Ln>",[None]
"<f82v.3,@Lt>","[8, 0]"
"<f82v.4,@Lt>",[None]
"<f82v.5,@P0>","[3, None, None, None, None, None, 0, 3, None]"
"<f82v.6,+P0>","[None, None, None, 8, None, None, 3, None, None, 6]"
"<f82v.7,+P0>","[5, 6, None, None, None, None, None, None, None, None, 8]"
"<f82v.8,+P0>","[None, None, None, None, None, None, None, None, None, None]"
"<f82v.9,+P0>","[None, None, None, None, None, None, None, None, None]"
"<f82v.10,+P0>","[None, None, None, None, None, None, None]"
"<f82v.11,+P0>","[None, 3, None, None, None, 3, None, None, 8, None, 8]"
"<f82v.12,+P0>","[3, None, 3, 6, None, None, None, None, None, None, None]"
"<f82v.13,+P0>","[None, None, None, None, None, None, None, None]"
"<f82v.14,+P0>","[None, None, 8, 6, 8, None, 5, None]"
"<f82v.15,+P0>","[3, None, None, None, None, None, None, None, None, 3]"
"<f82v.16,+P0>","[None, None, None, 8, 8, None, None, None, 9, 8, None]"
"<f82v.17,+P0>","[5, None, None, None, 8, None, None, None, None, None]"
"<f82v.18,+P0>","[None, None, None, None, None, None, None, None, None, 8]"
"<f82v.19,+P0>","[None, None, None, None, 0, None, 8, None, 0, None, 8]"
"<f82v.20,+P0>","[None, None, None, None, None, None, 5]"
"<f82v.21,+P0>","[8, None, None, None, 8, 8, 6, 0, 8, 3]"
"<f82v.22,+P0>","[None, None, None, None, None, None, 6, None, 3]"
"<f82v.23,+P0>","[None, None, None, 0, None, None, 8]"
"<f82v.24,+P0>","[None, None, None, None, None, None, 3, 8, 3]"
"<f82v.25,+P0>","[None, None, None, None, 3, None, None, None]"
"<f82v.26,+P0>","[8, None, None, None, None, None, None, None, None]"
"<f82v.27,+P0>","[None, None, None, None, 6, None]"
"<f82v.28,*P0>","[None, 6, None, None, None, None, None, None]"
"<f82v.29,+P0>","[8, None, None, None, None, None, None, None]"
"<f82v.30,+P0>","[3, 5, None, None, None, None, None, 6, 8, 3, 3]"
"<f82v.31,+P0>","[None, 8, 3, None, None, 8, 0, None, None, None]"
"<f82v.32,+P0>","[3, 3, 8, 8, None, None, 5]"
"<f82v.33,+P0>","[None, None, None, None, None, 6, None, None, None, 3]"
"<f82v.34,+P0>","[None, None, None, 0, 6, 8, None, None, 6]"
"<f82v.35,+P0>","[None, None, None, None, None, 0, 0, None, None, 3]"
"<f82v.36,+P0>","[8, 8, None, None, None, None, None, None, None]"
"<f82v.37,+P0>","[3, None, 8, None, None, 6, None, None, 6, None]"
"<f82v.38,+P0>","[None, None, None, None]"
"<f82v.39,@Ln>",[None]
"<f82v.40,@Ln>",[None]
"<f82v.41,@Ln>",[8]
"<f82v.42,~Lt>",[9]
"<f82v.43,~Lt>",[None]
"<f82v.44,~Ln>",[9]
"<f82v.45,@Lt>",[0]
"<f82v.46,@Lt>",[6]
"<f82v.47,@Lt>",[None]
"<f82v.48,+Lt>",[None]
<f83r>,[]
"<f83r.1,@P0>","[None, None, None, None, None, None, None]"
"<f83r.2,+P0>","[3, None, None, None, None, None, None, None, 3, None, 3]"
"<f83r.3,+P0>","[None, None, None, None, 8, None, None, None, None, 3]"
"<f83r.4,+P0>","[None, None, None, None, 8, None, None, None, None]"
"<f83r.5,+P0>","[None, None, None, None, None, None, None, None, None, 8]"
