,Section,Word,Estimated Frequency,Cluster,POS Role,Sections Used In,Section Count,Section Exclusive
35613,Unknown,on,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35612,Unknown,opsh,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35611,Unknown,dor,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35610,Unknown,shocfh,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35609,Unknown,shek,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35608,Unknown,okeeor,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35607,Unknown,psheor,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35606,Unknown,oyg,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35605,Unknown,pshes,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35604,Unknown,okyd,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35603,Unknown,eeedeed,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35602,Unknown,alk,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35601,Unknown,okeear,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35600,Unknown,okeeeo,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35625,Unknown,?s,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35626,Unknown,skeeod,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35627,Unknown,qeeo,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35641,Unknown,soiin,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35652,Unknown,okeeeol,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35651,Unknown,chir,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35650,Unknown,sher,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35649,Unknown,eeeyk,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35648,Unknown,tyk,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35647,Unknown,oy,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35646,Unknown,soe,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35645,Unknown,sheeet,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35644,Unknown,oeeor,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35643,Unknown,oke,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35642,Unknown,shom,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35640,Unknown,okealsh,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35628,Unknown,okeeocth,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35639,Unknown,oiir,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35638,Unknown,dak,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35637,Unknown,orel,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35636,Unknown,sh,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35635,Unknown,okeees,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
35634,Unknown,asal,1228,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
8567,Uncategorized,okeal,947,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
8568,Uncategorized,loar,947,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
8610,Uncategorized,pyk,947,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
8598,Uncategorized,loi,947,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
8599,Uncategorized,o,947,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
8600,Uncategorized,okeeed,947,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
8601,Uncategorized,okeearam,947,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
8602,Uncategorized,doe,947,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
8603,Uncategorized,shk,947,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
8604,Uncategorized,yksh,947,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
8605,Uncategorized,sor,947,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
8606,Uncategorized,iir,947,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
8607,Uncategorized,shecphh,947,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
8608,Uncategorized,sotch,947,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
8609,Uncategorized,okolo,947,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
